Ranking,Total_Score,Car_ID,Make,Model,Year
4,116,113,Acura,"Tsx sportwagon",2012
6,110,112,Acura,TL,2008
8,102,50,Acura,TLX,2015
16,86,127,Acura,Tsx,2013
23,78,106,Acura,"Tl type s",2007
27,72,103,Acura,Tsx,2010
32,66,1051,Acura,Tsx,2006
34,64,41,Acura,Tsx,2012
36,62,48,Acura,TLX,2015
52,52,225,Acura,TLX,2016
54,50,5,Acura,Rsx,2003
60,48,211,Acura,Tsx,2004
65,44,121,Acura,TL,2012
72,42,49,Acura,Integra,1997
73,42,45,Acura,TL,2006
114,22,93,Acura,TL,2005
119,20,230,Acura,Tsx,2004
159,6,71,Acura,TL,2008
163,4,174,Acura,Rsx,2006
3,120,15,Audi,S4,2014
83,38,18,Audi,S3,2015
98,28,116,Audi,A4,2008
130,14,108,Audi,S4,2013
131,14,220,Audi,A4,2004
164,2,197,Audi,A4,2010
108,24,2,Bmw,M2,2016
117,22,172,Bmw,4,2014
140,10,111,Bmw,328i,2007
150,8,28,Bmw,318xi,1995
33,64,218,Chevy,Camaro,2010
55,50,170,Chevy,Cruze,2014
166,0,0,Chevy,Camaro,2015
11,96,216,Chrystler,300,2007
149,8,42,Dodge,Viper,2001
49,54,137,Ford,"Focus rs",2017
94,30,120,Ford,"Focus st",2014
104,26,219,Ford,"Focus rs",2016
118,20,167,Ford,Mystang,2016
5,112,83,Honda,Accord,2014
7,106,65,Honda,Fit,2009
9,102,31,Honda,Fit,2007
13,92,175,Honda,Civic,2006
15,92,13,Honda,"Civic 1.5t",2016
17,86,63,Honda,Civic,2010
25,72,178,Honda,Oddesy,2009
26,72,39,Honda,Civic,2011
41,60,35,Honda,Civic,2016
46,56,115,Honda,Crv,2001
57,48,88,Honda,Accord,2008
58,48,104,Honda,"Civic si",2014
66,44,118,Honda,Civic,1993
69,42,85,Honda,Accord,2017
75,40,207,Honda,"Civic eG",1993
77,40,44,Honda,"Civic si",2018
80,38,99,Honda,"Civic si",2014
109,24,130,Honda,"Civic si",2016
111,24,22,Honda,Civic,2007
123,18,226,Honda,Accord,2008
124,18,34,Honda,Fit,2010
126,16,89,Honda,"Civic si",2014
133,14,4,Honda,Civic,2007
139,10,102,Honda,Accord,2015
152,8,74,Honda,Accord,2015
162,4,72,Honda,"Civic si",2016
165,0,101,Honda,Civic,2014
167,0,70,Honda,Civic,2014
30,66,30,Hyundai,Celoster,2012
40,62,38,Hyundai,"Elantra sport",2017
95,30,92,Hyundai,"Elantra sport",2017
128,14,159,Hyundai,"Gen coupe",2013
1,128,128,Infiniti,G37,2010
68,44,122,Infiniti,M37s,2011
79,38,20,Infiniti,G37,2009
136,12,95,Infiniti,G35,2004
2,124,124,Jeep,Wrangler,2015
31,66,123,Lexus,Sc430,2006
74,40,222,Lexus,Is250,2015
146,10,190,Lexus,Sc300,1995
157,6,212,Lexus,Is300,2001
59,48,52,Mazda,"Speed 3",2007
86,36,78,Mazda,6,2015
105,26,141,Mazda,Miata,1993
122,18,79,Mazda,Miata,1993
144,10,138,Mazda,Miata,1990
22,78,25,Mercedes,C250,2012
28,70,84,Mercedes,Cl63amg,2012
88,34,17,Mercedes,C43,2016
102,26,98,Mercedes,C63,2012
10,102,91,Mitsu,Lancer,2010
63,44,140,Mitsu,Evo8,1995
76,40,176,Mitsu,Lancer,2014
78,40,19,Mitsu,Evo7,2001
113,22,163,Mitsu,Ralliart,2013
12,92,228,Nissan,370,2010
18,84,161,Nissan,370z,2012
19,84,3,Nissan,370,2011
35,64,158,Nissan,350z,2007
39,62,12,Nissan,240,1990
62,44,8,Nissan,Skyline,1991
64,44,Showcar,Nissan,Gtr,2014
67,44,9,Nissan,240,1996
85,36,162,Nissan,370z,2014
87,34,10,Nissan,S15,2001
89,32,4341,Nissan,Rps13,1992
92,30,7,Nissan,Sentra,2014
96,30,11,Nissan,Skyline,1991
101,26,14,Nissan,Skyline,1990
107,26,242,Nissan,Maxima,2014
115,22,150,Nissan,350z,2006
134,14,193,Nissan,Ssntra,2014
138,10,68,Nissan,Altima,2013
142,10,16,Nissan,350z,2008
21,80,57,Scion,Frs,2015
121,20,235,Scion,Frs,2013
24,74,36,Subaru,WRX,2016
29,68,33,Subaru,Sti,2015
37,62,21,Subaru,WRX,2009
38,62,23,Subaru,Legacy,1998
42,60,53,Subaru,WRX,2013
48,54,37,Subaru,Sti,2015
51,52,134,Subaru,WRX,2013
53,50,51,Subaru,WRX,2015
61,46,232,Subaru,WRX,2018
70,42.0,153,Subaru,Brz,2017
84,36,200,Subaru,WRX,2016
91,32,24,Subaru,BRZ,2013
106,26,187,Subaru,Legacy,2007
129,14,67,Subaru,Sti,2015
137,12,76,Subaru,Sti,2005
153,8,69,Subaru,WRX,2018
155,6,1,Subaru,WRX,2012
156,6,75,Subaru,WRX,2012
158,6,40,Subaru,Legacy,2007
160,6,64,Subaru,Forester,2004
43,58,142,Toyota,Supra,1993
44,58,110,Toyota,Camry,2011
47,54,43,Toyota,"4 Runner",2011
56,50,189,Toyota,"Fj cruiser",2012
110,24,241,Toyota,Camry,2007
141,10,243,Toyota,Matrix,2008
14,92,126,Volkswagen,Eos,2010
20,82.0,180,Volkswagen,Gti,2011
45,56,156,Volkswagen,Gli,2014
50,54,6,Volkswagen,"Golf r",2016
71,42,56,Volkswagen,Jetta,2009
81,38,145,Volkswagen,Gti,1990
82,38,179,Volkswagen,R32,2004
90,32,46,Volkswagen,R32,2008
93,30,181,Volkswagen,Gti,2003
97,28,59,Volkswagen,Golf,2012
99,28,238,Volkswagen,Rabbit,1982
100,28,144,Volkswagen,Gti,2016
103,26,114,Volkswagen,Gti,2010
112,24,81,Volkswagen,GTI,2016
120,20,182,Volkswagen,Cc,2012
125,16,183,Volkswagen,Jetta,2005
127,16,Vip,Volkswagen,Gli,2008
132,14,186,Volkswagen,Gli,2012
135,12,177,Volkswagen,"Jetta gli",2005
143,10,96,Volkswagen,Gti,2017
145,10,94,Volkswagen,Gti,2004
147,10,237,Volkswagen,Jetta,1987
148,8,184,Volkswagen,Cc,2010
151,8,185,Volkswagen,Jett,2013
154,8,86,Volkswagen,Jetta,1996
161,4,66,Volkswagen,Gti,2010
116,22,100,Volvo,S60r,2006
