Year          , Make          , Model         , Car_ID        , total_score   , ranking        
2010          , Infiniti      , G37           , 128           , 128           
2015          , Jeep          , Wrangler      , 124           , 124           
2014          , Audi          , S4            , 15            , 120           
2012          , Acura         , Tsx sportwagon, 113           , 116           
2014          , Honda         , Accord        , 83            , 112           
2008          , Acura         , TL            , 112           , 110           
2009          , Honda         , Fit           , 65            , 106           
2015          , Acura         , TLX           , 114           , 102           
2010          , Mitsu         , Lancer        , 91            , 102           
2007          , Honda         , Fit           , 31            , 102           
2007          , Chrystler     , 300           , 216           , 96            
2016          , Honda         , Civic 1.5t    , 37            , 92            
2010          , Volkswagen    , Eos           , 126           , 92            
2010          , Nissan        , 370           , 228           , 92            
2006          , Honda         , Civic         , 175           , 92            
2013          , Acura         , Tsx           , 127           , 86            
2010          , Honda         , Civic         , 63            , 86            
2012          , Nissan        , 370z          , 161           , 84            
2011          , Nissan        , 370           , 153           , 84            
2011          , Volkswagen    , Gti           , 180           , 82            
2015          , Scion         , Frs           , 57            , 80            
2012          , Mercedes      , C250          , 25            , 78            
2007          , Acura         , Tl type s     , 106           , 78            
2016          , Subaru        , WRX           , 36            , 74            
2011          , Honda         , Civic         , 39            , 72            
2010          , Acura         , Tsx           , 103           , 72            
2009          , Honda         , Oddesy        , 178           , 72            
2012          , Mercedes      , Cl63amg       , 84            , 70            
2015          , Subaru        , Sti           , 33            , 68            
2012          , Hyundai       , Celoster      , 30            , 66            
2006          , Lexus         , Sc430         , 123           , 66            
2006          , Acura         , Tsx           , 1051          , 66            
2012          , Acura         , Tsx           , 41            , 64            
2010          , Chevy         , Camaro        , 218           , 64            
2007          , Nissan        , 350z          , 158           , 64            
2017          , Hyundai       , Elantra sport , 38            , 62            
2015          , Acura         , TLX           , 48            , 62            
2009          , Subaru        , WRX           , 21            , 62            
1998          , Subaru        , Legacy        , 23            , 62            
1990          , Nissan        , 240           , 12            , 62            
2016          , Honda         , Civic         , 35            , 60            
2013          , Subaru        , WRX           , 53            , 60            
2011          , Toyota        , Camry         , 110           , 58            
1993          , Toyota        , Supra         , 142           , 58            
2014          , Volkswagen    , Gli           , 156           , 56            
2001          , Honda         , Crv           , 115           , 56            
2017          , Ford          , Focus rs      , 137           , 54            
2016          , Volkswagen    , Golf r        , 6             , 54            
2015          , Subaru        , Sti           , 37            , 54            
2011          , Toyota        , 4 Runner      , 43            , 54            
2016          , Acura         , TLX           , 225           , 52            
2013          , Subaru        , WRX           , 134           , 52            
2015          , Subaru        , WRX           , 51            , 50            
2014          , Chevy         , Cruze         , 170           , 50            
2012          , Toyota        , Fj cruiser    , 189           , 50            
2003          , Acura         , Rsx           , 5             , 50            
2014          , Civic coupe   , Si            , 104           , 48            
2008          , Honda         , Accord        , 88            , 48            
2007          , Mazda         , Speed 3       , 52            , 48            
2004          , Acura         , Tsx           , 211           , 48            
2018          , Subaru        , WRX           , 232           , 46            
2014          , Nissan        , Gtr           , Showcar       , 44            
2012          , Acura         , TL            , 121           , 44            
2011          , Infinity      , M37s          , 122           , 44            
1996          , Nissan        , 240           , 9             , 44            
1995          , Mitsu         , Evo8          , 140           , 44            
1993          , Honda         , Civic         , 118           , 44            
1991          , Nissan        , Skyline       , 8             , 44            
2017          , Subaru        , Brz           , 153           , 42            
2017          , Honda         , Accord        , 85            , 42            
2009          , Volkswagen    , Jetta         , 56            , 42            
2006          , Acura         , TL            , 45            , 42            
1997          , Acura         , Integra       , 49            , 42            
2018          , Honda         , Civic si      , 44            , 40            
2015          , Lexus         , Is250         , 222           , 40            
2014          , Mitsu         , Lancer        , 176           , 40            
2001          , Mitsub        , Evo7          , 19            , 40            
1993          , Honda         , Civic eG      , 207           , 40            
2015          , Audi          , S3            , 18            , 38            
2014          , Civic         , Si            , 99            , 38            
2009          , Infinity      , G37           , 20            , 38            
2004          , Volkswagen    , R32           , 179           , 38            
1990          , Volkswagen    , Gti           , 145           , 38            
2016          , Subaru        , WRX           , 200           , 36            
2015          , Mazda         , 6             , 78            , 36            
2014          , Nissan        , 370z          , 162           , 36            
2016          , Mercedes      , C43           , 17            , 34            
2001          , Nissan        , S15           , 10            , 34            
2013          , Subaru        , BRZ           , 24            , 32            
2008          , Volkswagen    , R32           , 46            , 32            
1992          , Nissan        , Rps13         , 4341          , 32            
2017          , Hyundai       , Elantra sport , 92            , 30            
2014          , Nissan        , Sentra        , 7             , 30            
2014          , Ford          , Focus st      , 120           , 30            
2003          , Volkswagen    , Gti           , 181           , 30            
1991          , Nissan        , Skyline       , 11            , 30            
2016          , Volkswagen    , Gti           , 144           , 28            
