Year          , Make          , Model         , Car_ID        , total_score   , ranking         
2010          , Infiniti      , G37           , 128           , 128           , 1              
2015          , Jeep          , Wrangler      , 124           , 124           , 2              
2014          , Audi          , S4            , 15            , 120           , 3              
2012          , Acura         , Tsx sportwagon, 113           , 116           , 4              
2014          , Honda         , Accord        , 83            , 112           , 5              
2008          , Acura         , TL            , 112           , 110           , 6              
2009          , Honda         , Fit           , 65            , 106           , 7              
2015          , Acura         , TLX           , 114           , 102           , 8              
2010          , Mitsu         , Lancer        , 91            , 102           , 9              
2007          , Honda         , Fit           , 31            , 102           , 10             
2007          , Chrystler     , 300           , 216           , 96            , 11             
2016          , Honda         , Civic 1.5t    , 37            , 92            , 12             
2010          , Volkswagen    , Eos           , 126           , 92            , 13             
2010          , Nissan        , 370           , 228           , 92            , 14             
2006          , Honda         , Civic         , 175           , 92            , 15             
2013          , Acura         , Tsx           , 127           , 86            , 16             
2010          , Honda         , Civic         , 63            , 86            , 17             
2012          , Nissan        , 370z          , 161           , 84            , 18             
2011          , Nissan        , 370           , 153           , 84            , 19             
2011          , Volkswagen    , Gti           , 180           , 82            , 20             
2015          , Scion         , Frs           , 57            , 80            , 21             
2012          , Mercedes      , C250          , 25            , 78            , 22             
2007          , Acura         , Tl type s     , 106           , 78            , 23             
2016          , Subaru        , WRX           , 36            , 74            , 24             
2011          , Honda         , Civic         , 39            , 72            , 25             
2010          , Acura         , Tsx           , 103           , 72            , 26             
2009          , Honda         , Oddesy        , 178           , 72            , 27             
2012          , Mercedes      , Cl63amg       , 84            , 70            , 28             
2015          , Subaru        , Sti           , 33            , 68            , 29             
2012          , Hyundai       , Celoster      , 30            , 66            , 30             
2006          , Lexus         , Sc430         , 123           , 66            , 31             
2006          , Acura         , Tsx           , 1051          , 66            , 32             
2012          , Acura         , Tsx           , 41            , 64            , 33             
2010          , Chevy         , Camaro        , 218           , 64            , 34             
2007          , Nissan        , 350z          , 158           , 64            , 35             
2017          , Hyundai       , Elantra sport , 38            , 62            , 36             
2015          , Acura         , TLX           , 48            , 62            , 37             
2009          , Subaru        , WRX           , 21            , 62            , 38             
1998          , Subaru        , Legacy        , 23            , 62            , 39             
1990          , Nissan        , 240           , 12            , 62            , 40             
2016          , Honda         , Civic         , 35            , 60            , 41             
2013          , Subaru        , WRX           , 53            , 60            , 42             
